Year,Organization,Country HQ,Country location,Row,Forest Risk Commodity,Forest Risk Assessment,Forest Risk Process,Regulatory risks - Risk Present,Regulatory risks - Further Details,Reputational Risks - Risk Present,Reputational Risks - Further Details,Operational Risks - Risk Present,Operational Risks - Further Details
2013,Associated British Foods,United Kingdom,"(55.378051, -3.435973)",1,Palm Oil,Partial,Individual ABF businesses have reviewed their sourcing approaches for Palm and Palm derived products to meet ABF’s commitment to source certified material by the beginning of 2015. Some businesses have already achieved fully certified sustainable palm oil/derivatives supply. ABF businesses have considered the relevant risks according to their risk assessment procedures – which vary across the business.,No risk,,Material risk,,Material risk,
2013,Associated British Foods,United Kingdom,"(55.378051, -3.435973)",2,Soy,Partial,Some ABF businesses are aware of the increasing focus on the soy supply chain and deforestation concerns. ABF businesses have reviewed the sourcing of soy and soy derivatives and considered relevant risks according to their risk assessment procedures – which vary across the business.,No risk,,Material risk,,Material risk,
2014,Associated British Foods,United Kingdom,"(55.378051, -3.435973)",1,Timber,Yes,"Individual ABF businesses are required to complete risk assessments for their organisation capturing risks as far ranging as financial, reputational, supply and regulatory/legal.  As a minimum ABF businesses comply with the local legislation of countries in which they operate for example the Packaging Waste and Timber Regulations in the EU to which all concerned ABF businesses comply, checking suppliers’ compliance in addition.  
ABF businesses hold a list of products and their suppliers. Numerous suppliers of timber derived packaging products are vertically integrated and where this is not the case the product specification held by the ABF businesses can also detail raw material source.  As part of the supplier approval processes many ABF businesses request information on suppliers’ sustainability and environmental policies.
There is no known regulatory risk having an impact on our operations and ABF businesses comply with all local legislation in countries of operation.
There are no perceived reputational risks.  Some of our larger consumer brands in our grocery businesses have full chain of custody for their packaging requirements with packs displaying the appropriate FSC logo.
Packaging specifications are largely of industry standard and there is relative ease to switch supply should risk present in the future.",No risk,"Our businesses sourcing these commodities are responsible for monitoring legislation in the relevant countries and any potential impact on our supply chains and sourcing.  For example, the Packaging and Packaging Waste Directive and EU Timber Regulations.",Material risk,"If negative event/s were to occur in our supply chain, there is the high potential for there to be reputational impacts to certain brands.",Material risk,"Operational supply issues may arise for a number of reasons such as price volatility, security of supply or issues associated with the commodity’s heritage.  Individual businesses monitor these potential operational impacts as part of their risk assessments."
2014,Associated British Foods,United Kingdom,"(55.378051, -3.435973)",2,Palm Oil,Yes,"Individual ABF businesses are required to complete risk assessments for their organisation capturing risks as far ranging as financial, reputational, supply and regulatory/legal. As it relates to palm and palm derived products, each business is aware of the reputational and operational/supply risks that exist if we are unable to secure sustainable supply by ABF’s 2015 time-bound commitment. In turn, ABF businesses are aware of the interdependencies between sister companies and the reputational damage that can occur to branded businesses should the wider group not achieve its 2015 commitment.
With this is mind, businesses have developed plans or supply strategies that are consistent with RSPO recognised supply chain options for sourcing sustainable palm oil and palm derived materials. These approaches include the direct purchase of physical CSPO materials, i.e. via segregated or mass balance methods, where commercially available and feasible. In circumstances where physical supply is not established, we have supported the development of sustainable supply through recognised Book & Claim methods using Green Palm certificates. 
Supply chain certification has been secured for a number of ABF businesses already, and further plans to secure this approval are built into relevant businesses sourcing strategies going forward.",No risk,Our businesses sourcing these commodities are responsible for monitoring legislation in the relevant countries and any potential impact on our supply chains and sourcing.,Material risk,"If negative event/s were to occur in our supply chain, there is the high potential for there to be reputational impacts to certain brands.  Sustainable sourcing of palm is a high profile issue with media and NGO campaign coverage.  We are in dialogue with NGOs and working to ensure our products are suitably labelled.",Material risk,"Operational supply issues may arise for a number of reasons such as price volatility, security of supply or issues associated with the commodity’s heritage.  Individual businesses monitor these potential operational impacts as part of their risk assessments."
2014,Brambles,Australia,"(-25.274398, 133.775136)",2,Palm Oil,No,"Brambles' businesses purchase chemicals and detergents for the cleaning of their pallets, RPCs and containers. These chemicals and detergents may contain palm oil as an ingredient. Brambles will investigate its sourcing of these products and work with its suppliers to determine the extent and certification status that applies to palm oil sourcing. 

Management is responsible for the development, implementation and management of systems that: 
- identify, assess and manage risks in an effective and efficient manner; 
- enable decisions to be based on a comprehensive view of the reward-to-risk balance; 
- provide greater certainty of the delivery of objectives; and 
- satisfy the Group’s corporate governance requirements.  

One element of Brambles’ internal risk control systems is its Code of Conduct (attached).  Brambles is committed to working towards Zero Harm (Charter attached), meaning no injuries and no environmental damage and no detrimental impact on human rights. Brambles focus is to provide innovative, efficient and sustainable pooling solutions to its customers.

The Environmental Policy in the Code of Conduct is set by the Board and operates worldwide, including in countries that may not yet have enacted laws for the protection of the environment. It includes Brambles intent to seek out suppliers who have a proactive approach to environmental risk management and who manage natural resources responsibly. In addition, in FY13, Brambles developed a global supplier policy covering areas of compliance, diversity, labour standards, human rights, safety and the environment and outlining the Group's commitment to working with suppliers to develop more efficient, safer and sustainable supply chains.  Suppliers are expected to follow the principles of Brambles Zero Harm commitment. The supplier policy will be rolled out to all businesses in FY14.  Further information on Brambles' risks management processes and controls are reported in the Corporate Governance Statement of its Annual Report on pp 26-28, attached below.",No risk,"While Brambles is working to understand the extent of palm oil use in the chemicals and detergents it purchases, it is currently unaware of any regulatory risk associated with this.",Non-material risk,"As for lumber, our customers are increasingly concerned about the impact of deforestation and sustainable palm oil sourcing, particularly those customers who operate in the FMCG sector. Reputational risk could arise if we are not seen to be addressing our impacts on the environment. See above description for further information.",Material risk,"The supply of chemicals and detergents is vital for Brambles businesses to continue to operate in accordance with local laws and regulations, particularly in the transport of food products. Hazard Analysis and Critical Control Point (HACCP) requirements for the safe management of food products in some markets require Brambles' businesses to clean its pallets, RPCs and Containers with detergents where applicable."
2014,Associated British Foods,United Kingdom,"(55.378051, -3.435973)",3,Soy,Yes,"Individual ABF businesses are required to complete risk assessments for their organisation capturing risks as far ranging as financial, reputational, supply and regulatory/legal. As it relates to soy and soy derived products, each business is aware of the reputational and operational/supply risks concerned with soy and increasing interest and awareness of deforestation agenda with this commodity. 
With this is mind, businesses have developed plans or supply strategies that are consistent with developing responsible soy supply for businesses where this matter is of significant risk and relevance. These approaches include the direct purchase of responsibly sourced soy, where commercially available and feasible.
The development of meaningful and relevant cross industry approaches within the animal feed sector is critical and our animal feed business have played a leading role in this area. Our bakery ingredients business has taken a proactive step to secure BM Trada certified soy status for its soy supply chain sourced from Canada.",No risk,Our businesses sourcing these commodities are responsible for monitoring legislation in the relevant countries and any potential impact on our supply chains and sourcing.,Material risk,"If negative event/s were to occur in our supply chain, there is the high potential for there to be reputational impacts to certain brands.",Material risk,"Operational supply issues may arise for a number of reasons such as price volatility, security of supply or issues associated with the commodity’s heritage.  Individual businesses monitor these potential operational impacts as part of their risk assessments."
2014,"Avon Products, Inc.",USA,"(37.09024, -95.712891)",1,Timber,Yes,"Because Avon is a significant consumer of paper products, Avon is positioned to influence both supply and demand in the market, and thus contribute to the development of environmental solutions that conserve. That is why Avon developed the Avon Paper Promise, to promote responsible forest use and protect forests.",No risk,,Non-material risk,,Material risk,
2014,"Avon Products, Inc.",USA,"(37.09024, -95.712891)",2,Palm Oil,Yes,"While Avon is not a significant user of palm oil and we believe the physical operational, regulatory and reputational risks to the company are low, Avon has made a commitment through its Palm Oil Promise to take a leadership position in palm oil by purchasing GreenPalm certificates covering 100 percent of its global palm oil use. This will help drive demand for sustainable palm oil, increase the supply for sustainable palm oil, and help maintain biodiversity and habitat for endangered species.",No risk,,Non-material risk,,Material risk,
2014,"Best Buy Co., Inc.",USA,"(37.09024, -95.712891)",1,Timber,Yes,"At Best Buy, we aknowledge the potential reputational risk of being seen as contributing to the global problem of deforestation. We categorize this risk as low due to our commitment to sustainable forestry and corresponding actions outlined in our Paper Procurement Corporate Statement. Through our enterprise risk process lead by our Risk Council and supported by Communications and Public Affairs Issue Management working group, we monitor all reputational issues, facilitate working group sessions and influence enterprise activities to mitigate risk.",,,Non-material risk,"Due to our Paper Procurement Policy and current traceability, we view the reputational risk low although possible to be targeted by and NGO campaign related to corporate paper use.",,
2014,BillerudKorsnäs,Sweden,"(60.128161, 18.643501)",1,Timber,Yes,Risk assessment in accordance with the certifications FSC Chain of Custody/Controlled Wood and PEFC Chain of Custody. Furthermore due diligence processes in accordance with the European Union Timber Regulation (EUTR).,No risk,"The legislation (Forestry Act) is aimed to ensure two goals are achieved at the same level of importance, the environmental and the wood production goals. By that the legislation ensures wood procurement is sustainably ensured on long-term.",Non-material risk,As BillerudKorsnäs ambition is to ensure sustainable forest management acccording to certification and legislation and the bio-based products are environmentally better alternatives than other based on fossil materials there will probably be no risk on a larger scale. The risk is some mistake is done in the operational forest management followed by criticism.,No risk,"There are several interests in how to use the resource forest, but BillerudKorsnäs' ambition is to thoroughly analyze and plan all operations, in order to take all different aspects into consideration. In the short run no significant risks can be seen."
2014,BillerudKorsnäs,Sweden,"(60.128161, 18.643501)",2,Biofuels,Not applicable,"Biofuels are derived primarily as black liquor and refined bio oil from the residues of the production processes. Furthermore purchased as logging residues, bark from pulpwood trees, low quality wood, residual wood chips and sawdust from sawmills and wood waste from the building sector. In case of supplying logging residues from final fellings the risk assessment is covered by the timber supplying process.",No risk,As 97% of the energy use is based on biofuels and the aim for BillerudKorsnäs is to phase out fossil fuels completely we can´t see any risks for legislation restricting the energy supply.,No risk,"No risks can be seen, rather opportunities.",Non-material risk,As the dominant part of the energy supply is based on residues from the manufacturing processes there are no significant risks as far as all processes and equipment work technically as they shall. In the long run there is always a slight risk for disturbances in machinery for energy production which potentially could cause extra costs.
2013,Brambles,Australia,"(-25.274398, 133.775136)",1,Timber,Yes or 100% third party certified raw materials already achieved,"Management is responsible for the development, implementation and management of systems that:
- identify, assess and manage risks in an effective and efficient manner;
- enable decisions to be based on a comprehensive view of the reward-to-risk balance;
- provide greater certainty of the delivery of objectives; and
- satisfy the Group’s corporate governance requirements.

Brambles risk management process includes risks in the purchasing of commodities.

One of the key elements of Brambles’ internal risk control systems is its Code of Conduct. In its Code of Conduct, Brambles specifies that Brambles is committed to working towards Zero Harm, meaning no injuries and no environmental damage. Our goal is to provide innovative, efficient and sustainable business solutions in support services to our customers.

The Environmental Policy in the Code of Conduct is set by the Board and operates worldwide, including in countries that may not yet have enacted laws for the protection of the environment. It includes Brambles intent to seek out suppliers who have a proactive approach to environmental risk management and who manage natural resources responsibly. This underpins CHEP's strict lumber sourcing policies. CHEP maintains strict lumber sourcing policies that support the
replenishment of natural resources by sourcing lumber in a responsible and sustainable manner. CHEP does not source from protected areas, parks or similar areas in which harvesting operations do not promote responsible forestry management. CHEP has a target of achieving chain of custody certification for lumber purchased for CHEP pallets by 2015, which will provide assurance of responsible and sustainable practices.

Brambles' sustainability strategy specifically addresses responsible management of forest resources for Brambles, its suppliers, customers and the wider community, attached below. Brambles engages with its suppliers to assess whether their practices are in line with Brambles' environmental principles and acts accordingly to help those suppliers meet Brambles’ requirements and standards.

The Zero Harm Charter and the Code of Conduct are both attached below.

Further information on Brambles' risks management processes and controls are reported in the Corporate Governance Statement of its Annual Report on pages 40-42, attached below.",Non-material risk,"In Australia, The Illegal Logging Prohibition Amendment Regulation 2013 prohibits the importation and sale of all timber products containing illegally logged timber; prohibits the processing of illegally harvested domestically grown raw logs; requires importers of regulated timber products and processors of raw logs to comply with due diligence requirements; requires the accurate description of legally logged timber products for sale in Australia; establishes enforcement powers and offences, and imposes penalties; and provides for a review of the first five years of the operation of the Act. 

Similar legislation may exist in other countries in which CHEP operates.

The risk associated with legality of purchased lumber means CHEP must be able to verify this within its supply chain, especially where pallets may be shipped internationally. For example, CHEP Asia appointed a procurement manager during the Year in Malaysia and made good progress in raising awareness of sustainable lumber sourcing within CHEP’s Malaysian lumber supply base. All Malaysian suppliers source 100% of CHEP lumber from state forests with government transit documentation to ensure all lumber is tracked, species-checked and verified that it was legally harvested.",Material risk,"Our customers are increasingly concerned about impacts on the environment. Reputational risk could arise if we are not seen to be addressing our impacts on the environment. Brambles’ Group risk matrix, which sets out the top 10 “net” risks facing the Group and the steps being taken to mitigate those risks, in FY12 included risks of competition and retention of major customers (page 13 of Annual Report 2012). Reputational risk could arise if we are not seen to be addressing our impacts on the environment. If we are not sufficiently transparent about our actions in these areas, it could lead to customers taking their business to competitors. The credibility and business value of our business brand could be undermined by negative publicity around any practices that are counter to reducing our environmental impact. In 2010, Brambles announced its sustainability strategy and its strategic objectives and initiatives over five years to 2015. The targets Brambles has set for 2015, including the target of chain of custody certification for lumber purchased for pallets, are key drivers in its efforts. Commentary on the targets and the progress made is in the Sustainability section from the Annual report, pages 14-16.

Brambles could face reputational damage that affects its share price through exclusion from ethical/green investment funds, including superannuation funds in Australia that consider sustainability initiatives. Brambles’ Group risk matrix in FY12 included risks to our business model, strategy and execution, innovation and market communication, where Brambles is at risk of not effectively communicating to the market, which may lead to a loss of investor confidence in the business and its management and reduced share performance (see page 13 of the Annual Report 2012). Brambles believes its sustainability strategy and targets, including annual reporting on progress against these targets, address the environmental concerns of its investors. It regularly provides communication to the investment community to alleviate this risk and considers sustainability throughout its business operations, including through its Code of Conduct and Zero Harm Charter.",Material risk,"Brambles’ Group risk matrix, which sets out the top 10 “net” risks facing the Group and the steps being taken to mitigate those risks, in FY12 included risks to the business model, where changing supply chain dynamics and customer needs could render CHEP's existing service offering and business model out of date (page 13 of Annual Report 2012). Current market issues that, in combination or separately, could support competitive service offerings include attributes of wood versus alternative materials, etc. These issues could, over time, have an impact on revenue, cost base, economies of scale and the value of CHEP's existing assets."
2013,British Airways,United Kingdom,"(55.378051, -3.435973)",1,Timber,Yes or 100% third party certified raw materials already achieved,"Timber widely recognised as a risk commodity - this includes timber for building works, furniture/fittings and paper.  Sustainable policies put in place to reduce risk of use. Most of the paper used is certified. We are in the process of reviewing one of our supplier’s contract (RRD). The environment team will be part of the process.						",No risk,"Where we use sustainable products we are proud to promote the fact.  This enables the airline to raise topics of an environmental nature with its customers and the wider public.  It also enables the airline to support companies which supply sustainable products through raising their profile with the airlines customers. Although this has not impact on deforestation, we worked with catering to induce our catering providers to purchase sustainable fish from MSC certified suppliers for some of the dishes we offer on board. These are identified by the MSC logo.",,Increasing public awareness of environmental issues means using products/services that may lead to deforestation is becoming less acceptable. Knowingly using such products is also against BA's aspiration to 'Set the standard for responsible aviation'.	,No risk,
2013,British Airways,United Kingdom,"(55.378051, -3.435973)",2,Palm Oil,Partial,"Participation for the fourth year running in the Forest Disclosure project is educating our risk assessment process through making BA increasingly aware of the commodities we use, where they are sourced from and the wider implications (including risk). Our catering operation continues to be a primary source of risk. This is largely through using commodities which we are unable to clarify if and how they drive deforestation - which itself creates a potential reputational risk. Building on the annual FFD reporting process, we are developing a strong picture of where this risk is in our operation. This exercise and more resources put into our catering and environment department has started to change the shape of our relationship with our caterers and suppliers as we can be more focused. We are now looking at US suppliers, catering and environment team working together to assess their products.						",No risk,"Where we use sustainable products we are proud to promote the fact.  This enables the airline to raise topics of an environmental nature with its customers and the wider public.  It also enables the airline to support companies which supply sustainable products through raising their profile with the airlines customers. Although this has not impact on deforestation, we worked with catering to induce our catering providers to purchase sustainable fish from MSC certified suppliers for some of the dishes we offer on board. These are identified by the MSC logo.",,Increasing public awareness of environmental issues means using products/services that may lead to deforestation is becoming less acceptable. Knowingly using such products is also against BA's aspiration to 'Set the standard for responsible aviation'.	,No risk,
2013,British Airways,United Kingdom,"(55.378051, -3.435973)",3,Cattle Products,Partial,"Participation for the fourth year running in the Forest Disclosure project is educating our risk assessment process through making BA increasingly aware of the commodities we use, where they are sourced from and the wider implications (including risk). Our catering operation continues to be a primary source of risk. This is largely through using commodities which we are unable to clarify if and how they drive deforestation - which itself creates a potential reputational risk. Building on the annual FFD reporting process, we are developing a strong picture of where this risk is in our operation. This exercise and more resources put into our catering and environment department has started to change the shape of our relationship with our caterers and suppliers as we can be more focused. We are now looking at US suppliers, catering and environment team working together to assess their products.					",No risk,"Where we use sustainable products we are proud to promote the fact.  This enables the airline to raise topics of an environmental nature with its customers and the wider public.  It also enables the airline to support companies which supply sustainable products through raising their profile with the airlines customers. Although this has not impact on deforestation, we worked with catering to induce our catering providers to purchase sustainable fish from MSC certified suppliers for some of the dishes we offer on board. These are identified by the MSC logo.",,Increasing public awareness of environmental issues means using products/services that may lead to deforestation is becoming less acceptable. Knowingly using such products is also against BA's aspiration to 'Set the standard for responsible aviation'.	,No risk,
2013,British Airways,United Kingdom,"(55.378051, -3.435973)",4,Soy,Partial,"Participation for the fourth year running in the Forest Disclosure project is educating our risk assessment process through making BA increasingly aware of the commodities we use, where they are sourced from and the wider implications (including risk). Our catering operation continues to be a primary source of risk. This is largely through using commodities which we are unable to clarify if and how they drive deforestation - which itself creates a potential reputational risk. Building on the annual FFD reporting process, we are developing a strong picture of where this risk is in our operation. This exercise and more resources put into our catering and environment department has started to change the shape of our relationship with our caterers and suppliers as we can be more focused. We are now looking at US suppliers, catering and environment team working together to assess their products.					",No risk,"Where we use sustainable products we are proud to promote the fact.  This enables the airline to raise topics of an environmental nature with its customers and the wider public.  It also enables the airline to support companies which supply sustainable products through raising their profile with the airlines customers. Although this has not impact on deforestation, we worked with catering to induce our catering providers to purchase sustainable fish from MSC certified suppliers for some of the dishes we offer on board. These are identified by the MSC logo.",,Increasing public awareness of environmental issues means using products/services that may lead to deforestation is becoming less acceptable. Knowingly using such products is also against BA's aspiration to 'Set the standard for responsible aviation'.	,No risk,
